,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
580,35,1,384,Sales,8,4,Life Sciences,805,1,0,72,3,1,Sales Representative,4,2,2572,20317,1,0,16,3,2,1,3,1,2,3,2,0,2,0
1115,34,1,479,Research & Development,7,4,Medical,1577,1,1,35,3,1,Research Scientist,4,1,2972,22061,1,0,13,3,3,0,1,4,1,1,0,0,0,0
792,33,2,827,Research & Development,29,4,Medical,1101,1,0,54,2,2,Research Scientist,3,1,4508,3129,1,0,22,4,2,0,14,4,3,13,7,3,8,1
717,27,1,1134,Research & Development,16,4,Technical Degree,1001,3,0,37,3,1,Laboratory Technician,2,2,2811,12086,9,0,14,3,2,1,4,2,3,2,2,2,2,0
426,30,0,1116,Research & Development,2,3,Medical,571,3,0,49,3,1,Laboratory Technician,4,1,2564,7181,0,0,14,3,3,0,12,2,2,11,7,6,7,0
129,49,1,470,Research & Development,20,4,Medical,170,3,0,96,3,2,Manufacturing Director,1,2,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,0
73,32,1,548,Research & Development,1,3,Life Sciences,96,2,1,66,3,2,Research Scientist,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,0
11,29,1,153,Research & Development,15,2,Life Sciences,15,4,0,49,2,2,Laboratory Technician,3,1,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,0
1026,32,1,601,Sales,7,5,Marketing,1446,4,1,97,3,2,Sales Executive,4,2,9204,23343,4,0,12,3,3,1,7,3,2,4,3,0,3,0
104,37,0,1040,Research & Development,2,2,Life Sciences,139,3,1,100,2,2,Healthcare Representative,4,1,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,0
1405,31,0,697,Research & Development,10,3,Medical,1979,3,0,40,3,3,Research Director,3,2,11031,26862,4,0,20,4,3,1,13,2,4,11,7,4,8,0
1057,29,2,115,Sales,13,3,Technical Degree,1487,1,0,51,3,2,Sales Executive,2,1,5765,17485,5,0,11,3,1,0,7,4,1,5,3,0,0,1
829,33,1,603,Sales,9,4,Marketing,1157,1,0,77,3,2,Sales Executive,1,1,8224,18385,0,1,17,3,1,0,6,3,3,5,2,0,3,1
1249,29,1,428,Sales,9,3,Marketing,1752,2,0,52,1,1,Sales Representative,2,1,2760,14630,1,0,13,3,3,0,2,3,3,2,2,2,2,1
182,41,1,1356,Sales,20,2,Marketing,248,2,0,70,3,1,Sales Representative,2,1,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,1
374,28,1,304,Sales,9,4,Life Sciences,498,2,1,92,3,2,Sales Executive,4,1,5253,20750,1,0,16,3,4,0,7,1,3,7,5,0,7,0
437,30,1,413,Sales,7,1,Marketing,585,4,1,57,3,1,Sales Representative,2,1,2983,18398,0,0,14,3,1,0,4,3,3,3,2,1,2,0
1447,36,0,301,Sales,15,4,Marketing,2036,4,1,88,1,2,Sales Executive,4,1,5406,10436,1,0,24,4,1,1,15,4,2,15,12,11,11,0
206,22,1,1136,Research & Development,5,3,Life Sciences,284,4,1,60,4,1,Research Scientist,2,1,2328,12392,1,1,16,3,1,1,4,2,2,4,2,2,2,0
558,32,2,430,Research & Development,24,4,Life Sciences,772,1,1,80,3,2,Laboratory Technician,4,2,5309,21146,1,0,15,3,4,2,10,2,3,10,8,4,7,0
1073,28,1,1083,Research & Development,29,1,Life Sciences,1514,3,1,96,1,2,Manufacturing Director,2,2,6549,3173,1,0,14,3,2,2,8,2,2,8,6,1,7,0
1227,31,1,741,Research & Development,2,4,Life Sciences,1721,2,1,69,3,1,Laboratory Technician,3,2,3477,18103,1,0,14,3,4,1,6,2,4,5,2,0,3,0
1183,36,1,1040,Research & Development,3,2,Life Sciences,1664,4,1,79,4,2,Healthcare Representative,1,1,6842,26308,6,0,20,4,1,1,13,3,3,5,4,0,4,0
909,19,1,265,Research & Development,25,3,Life Sciences,1269,2,0,57,4,1,Research Scientist,4,1,2994,21221,1,1,12,3,4,0,1,2,3,1,0,0,1,0
160,22,1,1256,Research & Development,19,1,Medical,217,3,1,80,3,1,Research Scientist,4,2,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,0
91,51,1,632,Sales,21,4,Marketing,120,3,1,71,3,2,Sales Executive,4,1,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,0
622,32,1,117,Sales,13,4,Life Sciences,859,2,1,73,3,2,Sales Executive,4,1,4403,9250,2,0,11,3,3,1,8,3,2,5,2,0,3,0
198,38,1,1261,Research & Development,2,4,Life Sciences,271,4,1,88,3,2,Manufacturing Director,3,2,6553,7259,9,0,14,3,2,0,14,3,3,1,0,0,0,0
455,33,1,922,Research & Development,1,5,Medical,612,1,0,95,4,4,Research Director,3,1,16184,22578,4,0,19,3,3,1,10,2,3,6,1,0,5,0
710,33,0,722,Sales,17,3,Life Sciences,992,4,1,38,3,4,Manager,3,1,17444,20489,1,0,11,3,4,0,10,2,3,10,8,6,0,0
475,26,1,703,Sales,28,2,Marketing,641,1,1,66,3,2,Sales Executive,2,2,6272,7428,1,0,20,4,4,2,6,5,4,5,3,1,4,0
1164,40,1,448,Research & Development,16,3,Life Sciences,1641,3,0,84,3,3,Manufacturing Director,4,1,7945,19948,6,1,15,3,4,0,18,2,2,4,2,3,3,0
665,47,1,1454,Sales,2,4,Life Sciences,925,4,0,65,2,1,Sales Representative,4,1,3294,13137,1,1,18,3,1,0,3,3,2,3,2,1,2,0
1051,44,2,383,Sales,1,5,Marketing,1481,1,0,79,3,2,Sales Executive,3,2,4768,9282,7,0,12,3,3,1,11,4,2,1,0,0,0,0
1228,41,0,552,Human Resources,4,3,Human Resources,1722,3,1,60,1,2,Human Resources,2,2,6430,20794,6,0,19,3,2,1,10,4,3,3,2,1,2,0
527,32,1,929,Sales,10,3,Marketing,722,4,1,55,3,2,Sales Executive,4,1,5396,21703,1,0,12,3,4,0,10,2,2,10,7,0,8,0
958,34,1,943,Research & Development,9,3,Life Sciences,1344,4,1,86,3,3,Healthcare Representative,4,1,8500,5494,0,0,11,3,4,1,10,0,2,9,7,1,6,0
431,54,1,548,Research & Development,8,4,Life Sciences,578,3,0,42,3,2,Laboratory Technician,3,1,3780,23428,7,0,11,3,3,0,19,3,3,1,0,0,0,0
587,52,1,1325,Research & Development,11,4,Life Sciences,813,4,0,82,3,2,Laboratory Technician,3,2,3149,21821,8,0,20,4,2,1,9,3,3,5,2,1,4,0
492,48,1,1236,Research & Development,1,4,Life Sciences,664,4,0,40,2,4,Manager,1,2,15402,17997,7,0,11,3,1,1,21,3,1,3,2,0,2,0
159,34,2,303,Sales,2,4,Marketing,216,3,0,75,3,1,Sales Representative,3,2,2231,11314,6,0,18,3,4,1,6,3,3,4,3,1,2,0
562,33,1,527,Research & Development,1,4,Other,780,4,1,63,3,1,Research Scientist,4,1,2686,5207,1,1,13,3,3,0,10,2,2,10,9,7,8,1
844,30,1,852,Sales,10,3,Marketing,1179,3,1,72,2,2,Sales Executive,3,2,6578,2706,1,0,18,3,1,1,10,3,3,10,3,1,4,0
739,27,1,1055,Research & Development,2,4,Life Sciences,1027,1,0,47,3,2,Manufacturing Director,4,2,4227,4658,0,0,18,3,2,1,4,2,3,3,2,2,2,0
1387,29,1,136,Research & Development,1,3,Life Sciences,1954,1,1,89,3,2,Healthcare Representative,1,2,5373,6225,0,0,12,3,1,1,6,5,2,5,3,0,2,0
1307,28,1,1217,Research & Development,1,3,Medical,1834,3,0,67,3,1,Research Scientist,1,2,3591,12719,1,0,25,4,3,1,3,3,3,3,2,1,2,0
811,38,1,130,Sales,2,2,Marketing,1125,4,1,32,3,3,Sales Executive,2,1,7351,20619,7,0,16,3,3,0,10,2,3,1,0,0,0,0
451,42,1,319,Research & Development,24,3,Medical,605,4,1,56,3,3,Manufacturing Director,1,2,7406,6950,1,1,21,4,4,1,10,5,2,10,9,5,8,0
95,54,1,1217,Research & Development,2,4,Technical Degree,126,1,0,60,3,3,Research Director,3,2,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,0
949,39,1,524,Research & Development,18,2,Life Sciences,1322,1,1,32,3,2,Manufacturing Director,3,1,4534,13352,0,0,11,3,1,0,9,6,3,8,7,1,7,0
35,43,1,1273,Research & Development,2,2,Medical,46,4,0,72,4,1,Research Scientist,3,1,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,0
919,59,1,1429,Research & Development,18,4,Medical,1283,4,1,67,3,3,Manufacturing Director,4,1,10512,20002,6,0,12,3,4,0,25,6,2,9,7,5,4,0
225,59,1,142,Research & Development,3,3,Life Sciences,309,3,1,70,2,1,Research Scientist,4,2,2177,8456,3,0,17,3,1,1,7,6,3,1,0,0,0,0
12,31,1,670,Research & Development,26,1,Life Sciences,16,1,1,31,3,1,Research Scientist,3,1,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,0
649,53,1,102,Research & Development,23,4,Life Sciences,901,4,0,72,3,4,Research Director,4,1,14275,20206,6,0,18,3,3,0,33,0,3,12,9,3,8,0
609,43,1,589,Research & Development,14,2,Life Sciences,843,2,1,94,3,4,Research Director,1,2,17159,5200,6,0,24,4,3,1,22,3,3,4,1,1,0,0
1123,35,1,670,Research & Development,10,4,Medical,1587,1,0,51,3,2,Healthcare Representative,3,1,6142,4223,3,1,16,3,3,0,10,4,3,5,2,0,4,0
952,31,2,1060,Sales,1,3,Life Sciences,1331,4,0,54,3,1,Sales Representative,2,1,2302,8319,1,1,11,3,1,0,3,2,4,3,2,2,2,1
216,30,2,334,Sales,26,4,Marketing,299,3,0,52,2,2,Sales Executive,1,1,6696,22967,5,0,15,3,3,0,9,5,2,6,3,0,1,1
342,31,1,1232,Research & Development,7,4,Medical,462,3,0,39,3,3,Manufacturing Director,4,1,7143,25713,1,1,14,3,3,0,11,2,2,11,9,4,10,0
833,27,1,199,Research & Development,6,3,Life Sciences,1162,4,1,55,2,1,Research Scientist,3,2,2539,7950,1,0,13,3,3,1,4,0,3,4,2,2,2,0
1267,34,0,1375,Sales,10,3,Life Sciences,1774,4,1,87,3,2,Sales Executive,3,1,4001,12313,1,1,14,3,3,1,15,3,3,15,14,0,7,0
825,29,1,718,Research & Development,8,1,Medical,1150,2,1,79,2,2,Manufacturing Director,4,2,5056,17689,1,1,15,3,3,1,10,2,2,10,7,1,2,0
197,42,0,926,Research & Development,21,2,Medical,270,3,0,36,3,2,Manufacturing Director,3,1,5265,16439,2,0,16,3,2,1,11,5,3,5,3,0,2,0
1021,25,1,383,Sales,9,2,Life Sciences,1439,1,1,68,2,1,Sales Representative,1,2,4400,15182,3,0,12,3,1,0,6,2,3,3,2,2,2,1
1428,32,1,234,Sales,1,4,Medical,2013,2,1,68,2,1,Sales Representative,2,2,2269,18024,0,0,14,3,2,1,3,2,3,2,2,2,2,0
1119,38,1,1245,Sales,14,3,Life Sciences,1582,3,1,80,3,2,Sales Executive,2,2,9924,12355,0,0,11,3,4,1,10,3,3,9,8,7,7,0
330,43,2,559,Research & Development,10,4,Life Sciences,448,3,0,82,2,2,Laboratory Technician,3,1,5257,6227,1,0,11,3,2,1,9,3,4,9,7,0,0,0
163,57,1,334,Research & Development,24,2,Life Sciences,223,3,1,83,4,3,Healthcare Representative,4,1,9439,23402,3,1,16,3,2,1,12,2,1,5,3,1,4,0
112,54,0,142,Human Resources,26,3,Human Resources,148,4,0,30,4,4,Manager,4,1,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,0
613,34,1,829,Human Resources,3,2,Human Resources,847,3,1,88,3,1,Human Resources,4,2,3737,2243,0,0,19,3,3,1,4,1,1,3,2,0,2,0
233,50,1,854,Sales,1,4,Medical,323,4,0,68,3,5,Manager,4,1,19517,24118,3,0,11,3,3,1,32,3,2,7,0,0,6,0
1029,40,0,663,Research & Development,9,4,Other,1449,3,1,81,3,2,Laboratory Technician,3,1,3975,23099,3,0,11,3,3,2,11,2,4,8,7,0,7,0
779,51,1,1323,Research & Development,4,4,Life Sciences,1081,1,1,34,3,1,Research Scientist,3,2,2461,10332,9,1,12,3,3,3,18,2,4,10,0,2,7,1
925,42,1,603,Research & Development,7,4,Medical,1292,2,0,78,4,2,Research Scientist,2,2,2372,5628,6,1,16,3,4,0,18,2,3,1,0,0,0,0
442,36,0,635,Sales,10,4,Medical,592,2,1,32,3,3,Sales Executive,4,1,9980,15318,1,0,14,3,4,0,10,3,2,10,3,9,7,0
1093,42,2,288,Research & Development,2,3,Life Sciences,1547,4,1,40,3,3,Healthcare Representative,4,2,10124,18611,2,1,14,3,3,1,24,3,1,20,8,13,9,0
690,31,1,616,Research & Development,12,3,Medical,961,4,0,41,3,2,Healthcare Representative,4,2,5855,17369,0,1,11,3,3,2,10,2,1,9,7,8,5,0
1231,46,1,717,Research & Development,13,4,Life Sciences,1727,3,1,34,3,2,Healthcare Representative,2,1,5562,9697,6,0,14,3,4,0,19,3,3,10,7,0,9,0
800,28,2,1009,Research & Development,1,3,Medical,1111,1,1,45,2,1,Laboratory Technician,2,1,2596,7160,1,0,15,3,1,2,1,2,3,1,0,0,0,1
140,32,1,1033,Research & Development,9,3,Medical,190,1,0,41,3,1,Laboratory Technician,1,1,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4,1
1370,47,0,1169,Research & Development,14,4,Technical Degree,1934,3,1,64,3,2,Research Scientist,2,2,5467,2125,8,0,18,3,3,1,16,4,4,8,7,1,7,0
498,22,1,604,Research & Development,6,1,Medical,675,1,1,69,3,1,Research Scientist,3,2,2773,12145,0,0,20,4,4,0,3,3,3,2,2,2,2,0
887,42,2,458,Research & Development,26,5,Medical,1242,1,0,60,3,3,Research Director,1,2,13191,23281,3,1,17,3,3,0,20,6,3,1,0,0,0,0
1306,31,2,1125,Sales,7,4,Marketing,1833,1,0,68,3,3,Sales Executive,1,2,9637,8277,2,0,14,3,4,2,9,3,3,3,2,2,2,0
894,54,1,685,Research & Development,3,3,Life Sciences,1250,4,1,85,3,4,Research Director,4,2,17779,23474,3,0,14,3,1,0,36,2,3,10,9,0,9,0
1070,28,2,467,Sales,7,3,Life Sciences,1507,3,1,55,3,2,Sales Executive,1,1,4898,11827,0,0,14,3,4,0,5,5,3,4,2,1,3,0
659,28,1,821,Sales,5,4,Medical,916,1,1,98,3,2,Sales Executive,4,1,4908,24252,1,0,14,3,2,0,4,3,3,4,2,0,2,0
761,36,1,660,Research & Development,15,3,Other,1052,1,1,81,3,2,Laboratory Technician,3,1,4834,7858,7,0,14,3,2,1,9,3,2,1,0,0,0,1
1117,34,1,1351,Research & Development,1,4,Life Sciences,1580,2,1,45,3,2,Research Scientist,4,2,5484,13008,9,0,17,3,2,1,9,3,2,2,2,2,1,0
1417,31,1,1154,Sales,2,2,Life Sciences,1996,1,1,54,3,1,Sales Representative,3,2,3067,6393,0,0,19,3,3,1,3,1,3,2,2,1,2,0
1452,50,2,878,Sales,1,4,Life Sciences,2044,2,1,94,3,2,Sales Executive,3,1,6728,14255,7,0,12,3,4,2,12,3,3,6,3,0,1,1
488,42,1,622,Research & Development,2,4,Life Sciences,659,3,0,81,3,2,Healthcare Representative,4,2,4089,5718,1,0,13,3,2,2,10,4,3,10,2,2,2,0
746,41,0,247,Research & Development,7,1,Life Sciences,1035,2,0,55,1,5,Research Director,3,1,19973,20284,1,0,22,4,2,2,21,3,3,21,16,5,10,0
417,40,1,1398,Sales,2,4,Life Sciences,558,3,0,79,3,5,Manager,3,2,18041,13022,0,0,14,3,4,0,21,2,3,20,15,1,12,0
533,40,2,580,Sales,5,4,Life Sciences,729,4,1,48,2,3,Sales Executive,1,2,10475,23772,5,1,21,4,3,1,20,2,3,18,13,1,12,0
929,28,2,193,Research & Development,2,3,Life Sciences,1296,4,1,52,2,1,Laboratory Technician,4,2,3867,14222,1,1,12,3,2,1,2,2,3,2,2,2,2,0
1080,46,1,228,Sales,3,3,Life Sciences,1527,3,0,51,3,4,Manager,2,2,16606,11380,8,0,12,3,4,1,23,2,4,13,12,5,1,0
1147,49,1,722,Research & Development,25,4,Life Sciences,1617,3,0,84,3,1,Laboratory Technician,1,2,3211,22102,1,0,14,3,4,1,10,3,2,9,6,1,4,0
629,28,1,1169,Human Resources,8,2,Medical,869,2,1,63,2,1,Human Resources,4,1,4936,23965,1,0,13,3,4,1,6,6,3,5,1,0,4,0
1404,42,0,335,Research & Development,23,2,Life Sciences,1976,4,1,37,2,2,Research Scientist,3,1,4332,14811,1,0,12,3,4,0,20,2,3,20,9,3,7,0
327,39,1,1162,Sales,3,2,Medical,445,4,0,41,3,2,Sales Executive,3,2,5238,17778,4,1,18,3,1,0,12,3,2,1,0,0,0,1
1195,49,1,809,Research & Development,1,3,Life Sciences,1677,3,1,36,3,4,Manager,3,1,15379,22384,4,0,14,3,1,0,23,2,3,8,7,0,0,0
1340,36,1,1266,Sales,10,4,Technical Degree,1880,2,0,63,2,2,Sales Executive,3,2,5673,6060,1,1,13,3,1,1,10,4,3,10,9,1,7,0
1359,34,1,735,Sales,3,1,Medical,1915,4,0,75,2,2,Sales Executive,4,2,8103,16495,3,1,12,3,3,0,9,3,2,4,2,0,1,0
787,55,2,1091,Research & Development,2,1,Life Sciences,1096,4,1,65,3,3,Manufacturing Director,2,2,10976,15813,3,0,18,3,2,1,23,4,3,3,2,1,2,0
862,44,0,111,Research & Development,17,3,Life Sciences,1206,4,1,74,1,1,Research Scientist,3,1,2290,4279,2,0,13,3,4,0,6,3,3,0,0,0,0,0
188,34,2,1069,Research & Development,2,1,Life Sciences,256,4,1,45,2,2,Manufacturing Director,3,2,9547,14074,1,0,17,3,3,0,10,2,2,10,9,1,9,0
673,33,1,1198,Research & Development,1,4,Other,939,3,1,100,2,1,Research Scientist,1,1,2799,3339,3,1,11,3,2,0,6,1,3,3,2,0,2,0
756,32,0,1109,Research & Development,29,4,Medical,1046,4,0,69,3,1,Laboratory Technician,3,1,4025,11135,9,0,12,3,2,0,10,2,3,8,7,7,7,0
708,36,0,1229,Sales,8,4,Technical Degree,990,1,1,84,3,2,Sales Executive,4,1,5079,25952,4,0,13,3,4,2,12,3,3,7,7,0,7,0
1341,31,1,311,Research & Development,20,3,Life Sciences,1881,2,1,89,3,2,Laboratory Technician,3,1,4197,18624,1,0,11,3,1,1,10,2,3,10,8,0,2,0
946,40,1,299,Sales,25,4,Marketing,1318,4,1,57,2,3,Sales Executive,2,1,9094,17235,2,1,12,3,3,0,9,2,3,5,4,1,0,1
448,40,1,302,Research & Development,6,3,Life Sciences,601,2,0,75,3,4,Manufacturing Director,3,1,13237,20364,7,0,15,3,3,0,22,3,3,20,6,5,13,0
1324,29,1,726,Research & Development,29,1,Life Sciences,1859,4,1,93,1,2,Healthcare Representative,3,1,6384,21143,8,0,17,3,4,2,11,3,3,7,0,1,6,0
1436,21,1,501,Sales,5,1,Medical,2021,3,1,58,3,1,Sales Representative,1,1,2380,25479,1,1,11,3,4,0,2,6,3,2,2,1,2,0
190,52,1,699,Research & Development,1,4,Life Sciences,259,3,1,65,2,5,Manager,3,2,19999,5678,0,0,14,3,1,1,34,5,3,33,18,11,9,0
1284,39,1,1253,Research & Development,10,1,Medical,1800,3,1,65,3,3,Research Director,3,1,13464,7914,7,0,21,4,3,0,9,3,3,4,3,2,2,0
